iata,pax_base,pax_latest,growth_cagr_pct,longhaul_share_pct,ops
ABQ,2317729,2690206,7.74,0.0,60207
ANC,2531225,2700026,3.28,5.0,136925
ATL,40544331,45406048,5.83,0.3,690292
AUS,9937649,10159454,1.11,0.4,179873
BDL,2815547,3233502,7.17,0.0,59880
BNA,9687342,11798175,10.36,0.0,208149
BOI,2230107,2474747,5.34,0.0,58608
BOS,14486556,16855500,7.87,0.3,328953
BUF,2007855,2496031,11.5,0.0,51137
BUR,3044803,3382937,5.41,0.0,77383
BWI,10585408,12605406,9.13,0.0,207349
CHS,2608237,3104355,9.1,0.0,60351
CLE,4161376,4830320,7.74,0.0,89137
CLT,21380381,26172279,10.64,0.0,511933
CMH,3589723,4350403,10.09,0.0,89032
CVG,3649854,4357453,9.26,0.0,128959
DAL,7816693,8644406,5.16,0.0,150296
DCA,11424843,12500236,4.6,0.0,282173
DEN,32145313,37751107,8.37,1.1,643935
DFW,30641409,36327694,8.88,0.8,641095
DTW,12676719,14425694,6.68,0.5,269677
EWR,15599774,16928416,4.17,0.2,294541
FLL,12275514,13655237,5.47,0.0,194650
HNL,8120619,8730500,3.69,13.6,167715
HOU,6006673,6639442,5.14,0.0,116161
IAD,6701254,8041782,9.55,0.4,174530
IAH,15176932,17464743,7.27,0.9,341827
IND,4185588,5146286,10.88,0.0,121316
JAX,3178135,3749052,8.61,0.0,66281
JFK,13969297,13918304,-0.18,1.1,255441
LAS,24147763,26383195,4.53,0.0,405106
LAX,24454101,26239044,3.59,0.0,413641
LGA,13701710,15839248,7.52,0.0,318783
LGB,1599913,2031102,12.67,0.0,35915
MCI,4766523,5828768,10.58,0.0,110153
MCO,21835904,24109670,5.08,0.0,334039
MDW,9301450,10016986,3.78,0.0,158514
MEM,2161318,2437316,6.19,0.0,162536
MIA,14144426,14921318,2.71,0.0,235187
MKE,2648716,3070095,7.66,0.0,66822
MSP,14177226,16321635,7.3,0.5,292058
MSY,5848933,6414251,4.72,0.0,106246
OAK,5329089,4983895,-3.29,0.0,108547
OGG,3974836,3294957,-8.95,6.8,73865
OMA,2204326,2580020,8.19,0.0,53719
ONT,2745418,3277065,9.25,0.0,84500
ORD,27578121,31613389,7.07,0.4,657133
PBI,3235785,4084974,12.36,0.0,63280
PDX,6967743,8223580,8.64,0.0,162640
PHL,10892397,13195311,10.06,0.0,259478
PHX,20792565,24145834,7.76,0.0,417075
PIT,3864886,4742054,10.77,0.0,103104
RDU,5714103,7285042,12.91,0.0,134027
RSW,5011757,5252997,2.38,0.0,76601
SAN,10802011,12277953,6.61,0.0,195545
SAT,4474605,5109825,6.86,0.0,91449
SEA,20045715,22279616,5.42,0.0,382147
SFO,15604040,17631308,6.3,0.0,277099
SJC,5346030,5502681,1.45,0.0,104106
SJU,4620085,5726986,11.34,0.0,102916
SLC,11831867,12883320,4.35,0.0,237051
SMF,5862571,6469089,5.05,0.0,118962
SNA,5370125,5188951,-1.7,0.0,94965
STL,6518657,7569385,7.76,0.0,144256
TPA,10127366,11362895,5.92,0.0,172645
