iata,npias_locid,dev_cost_2025_2029,capacity_2028,capacity_2033
ABQ,ABQ,50402686,0,0
ANC,ANC,319008800,0,0
ATL,ATL,1502965252,1,2
AUS,AUS,1047269147,0,0
BDL,BDL,174957175,0,0
BNA,BNA,1394034035,0,0
BOI,BOI,87690224,0,0
BOS,BOS,906303854,2,3
BUF,BUF,32923575,0,0
BUR,BUR,117003896,0,0
BWI,BWI,635439726,1,2
CHS,CHS,36516492,0,0
CLE,CLE,215122803,0,0
CLT,CLT,1034776873,0,1
CMH,CMH,250756089,0,0
CVG,CVG,495521108,0,0
DAL,DAL,152345517,1,1
DCA,DCA,1274679136,2,2
DEN,DEN,1063036000,1,1
DFW,DFW,2343113489,1,1
DTW,DTW,371694229,0,0
EWR,EWR,94400000,2,3
FLL,FLL,1021368126,0,1
HNL,HNL,582223120,0,0
HOU,HOU,307491696,1,1
IAD,IAD,603893103,0,1
IAH,IAH,51718665,0,0
IND,IND,511926366,0,0
JAX,JAX,44000600,0,0
JFK,JFK,257289334,2,3
LAS,LAS,135766667,2,3
LAX,LAX,572656460,2,2
LGA,LGA,110066871,2,2
LGB,LGB,209761682,0,0
MCI,MCI,227147166,0,0
MCO,MCO,214898588,0,0
MDW,MDW,326396067,0,1
MEM,MEM,182789359,0,0
MIA,MIA,1826314254,1,2
MKE,MKE,131799951,0,0
MSP,MSP,653905319,0,0
MSY,MSY,281820751,0,0
OAK,OAK,843610420,0,0
OGG,OGG,193762995,0,0
OMA,OMA,130763713,0,0
ONT,ONT,145494434,0,0
ORD,ORD,2042331509,2,2
PBI,PBI,192692537,0,0
PDX,PDX,247709640,0,0
PHL,PHL,377310630,0,1
PHX,PHX,203396468,1,1
PIT,PIT,109344597,0,0
RDU,RDU,384556600,0,0
RSW,RSW,589676600,0,0
SAN,SAN,2405797784,2,3
SAT,SAT,502211804,1,1
SEA,SEA,539206029,2,3
SFO,SFO,683792071,2,3
SJC,SJC,278271918,1,1
SJU,SJU,160349606,0,0
SLC,SLC,173627159,0,0
SMF,SMF,200019806,0,0
SNA,SNA,114810954,1,1
STL,STL,1639905443,0,0
TPA,TPA,233836969,0,0
